,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,q1,q2,q3,q4,q5,q6,q7,nu,eta,prior,lhood
32.0,0.07752,0.07683,0.07668,0.07356,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.14157,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.17759,0.08855,0.26801,0.12516,0.79004,0.03677,0.36353,0.1,0.6185370186809951,116.18772609033576,-283.056189900621
33.0,0.07752,0.07683,0.07668,0.07356,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.14157,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.03737,0.08855,0.26801,0.04295,0.55908,0.04118,0.66605,0.1,0.6689180837097705,116.18772609033576,-281.40931226221466
34.0,0.07752,0.07683,0.07668,0.07356,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.14157,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.15344,0.04257,0.26801,0.04295,0.61798,0.04414,0.66605,0.1,0.7668284052906872,116.18772609033576,-281.37782533946523
35.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.26172,0.05661,0.26801,0.00016,0.36595,0.08929,0.66605,0.1,0.8680504808698906,115.78142702081838,-284.1053553723438
36.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.07932,0.06064,0.13033,0.17503,0.36595,0.08929,0.66605,0.1,0.8231639616620247,115.78142702081838,-280.108177517948
37.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.15331,0.22236,0.13033,0.30041,0.36595,0.08929,0.62007,0.1,0.8464039941682268,115.78142702081838,-280.8662911099802
38.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.00124,0.26083,0.03839,0.30041,0.40031,0.08929,0.62007,0.1,0.8188736893493469,115.78142702081838,-279.54961157966426
39.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.00124,0.26083,0.03839,0.31338,0.54378,0.06568,0.32128,0.1,0.7881835759043461,115.78142702081838,-279.2391287583987
40.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.10720,0.19324,0.12205,0.10281,0.54378,0.06568,0.36149,0.1,0.7919370146837471,115.78142702081838,-280.24842671080165
41.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.05363,0.19324,0.11623,0.15460,0.54378,0.09710,0.36149,0.1,0.7046898955739556,115.78142702081838,-280.353773188927
42.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.17238,0.19324,0.20743,0.15460,0.54416,0.11894,0.36149,0.1,0.8479366415944329,115.78142702081838,-281.98404625296905
43.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.17238,0.04750,0.10803,0.20629,0.54416,0.11894,0.36149,0.1,0.8479366415944329,115.78142702081838,-280.893672821848
44.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.06061,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.14624,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.17238,0.31779,0.01227,0.30446,0.44025,0.10555,0.39640,0.1,0.7529684558026348,116.21476673815263,-280.582621976085
45.0,0.07752,0.07683,0.07668,0.06612,0.07639,0.06061,0.07284,0.06933,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.12869,0.14795,0.14624,0.14833,0.13461,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.01217,0.31779,0.01227,0.27119,0.57178,0.10555,0.46850,0.1,0.7747722813841335,114.60152029510787,-280.26043114050105
46.0,0.07752,0.07683,0.07668,0.07781,0.07639,0.06061,0.07284,0.06933,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.15772,0.14795,0.14624,0.14833,0.13461,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.16798,0.34514,0.01227,0.55834,0.57178,0.09535,0.46324,0.1,0.7756184398922437,114.6953493387623,-282.25063889680666
47.0,0.07752,0.07683,0.07668,0.07781,0.07639,0.06061,0.07284,0.06933,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.15772,0.14795,0.14624,0.14833,0.13461,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.16798,0.34514,0.01227,0.55834,0.54738,0.12732,0.48231,0.1,0.7756143428137645,114.6953493387623,-282.69068772738643
48.0,0.07752,0.07683,0.07668,0.07781,0.07639,0.06061,0.07284,0.06933,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.15772,0.14795,0.14624,0.14833,0.13461,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.11993,0.34514,0.09751,0.26955,0.64494,0.12732,0.48231,0.1,0.8183418989138908,114.6953493387623,-282.52365943183156
49.0,0.06664,0.06595,0.06580,0.06693,0.06551,0.04973,0.06196,0.05845,0.05034,0.04914,0.06061,0.06343,0.06075,0.06007,0.06294,0.06396,0.06746,0.13281,0.13346,0.12412,0.14480,0.13503,0.13332,0.13541,0.12169,0.14447,0.13329,0.13293,0.13841,0.13398,0.12982,0.13525,0.13699,0.13194,0.01509,0.34514,0.09751,0.17865,0.39027,0.07343,0.60437,0.1,0.7738326664830264,115.9748867520049,-282.5702535083066
50.0,0.06664,0.06595,0.06580,0.06693,0.06551,0.04973,0.06196,0.05845,0.05034,0.04914,0.06061,0.06343,0.06075,0.06007,0.06294,0.06396,0.06746,0.13281,0.13346,0.12412,0.14480,0.13503,0.13332,0.13541,0.12169,0.14447,0.13329,0.13293,0.13841,0.13398,0.12982,0.13525,0.13699,0.13194,0.06413,0.34514,0.12631,0.52319,0.40290,0.07630,0.40026,0.1,0.7738326664830264,115.9748867520049,-282.99069828047936
51.0,0.06664,0.06595,0.06580,0.06693,0.06551,0.04973,0.06196,0.05845,0.05034,0.04914,0.06061,0.06343,0.06075,0.06007,0.06294,0.06396,0.06746,0.13281,0.13346,0.12412,0.14480,0.13503,0.13332,0.13541,0.12169,0.14447,0.13329,0.13293,0.13841,0.13398,0.12982,0.13525,0.13699,0.13194,0.06413,0.34514,0.19860,0.39253,0.40290,0.07630,0.25007,0.1,0.8063167643879132,115.9748867520049,-283.8125980948114
52.0,0.06664,0.06595,0.06580,0.06693,0.06551,0.04973,0.06196,0.05845,0.05034,0.04914,0.06061,0.06343,0.06075,0.06007,0.06294,0.06396,0.06746,0.13281,0.13346,0.12412,0.14480,0.13503,0.13332,0.13541,0.12169,0.14447,0.13329,0.13293,0.13841,0.13398,0.12982,0.13525,0.13699,0.13194,0.06413,0.34514,0.19860,0.39253,0.31932,0.07630,0.33648,0.1,0.7022008429476132,115.9748867520049,-284.0001569327901
53.0,0.06664,0.06595,0.06580,0.06693,0.06551,0.04973,0.06196,0.05845,0.05034,0.04914,0.06061,0.06343,0.06075,0.06007,0.06294,0.06396,0.06746,0.13281,0.13346,0.12412,0.14480,0.13503,0.13332,0.13541,0.12169,0.14447,0.13329,0.13293,0.13841,0.13398,0.12982,0.13525,0.13699,0.13194,0.06413,0.28251,0.19860,0.39253,0.39406,0.03836,0.16304,0.1,0.7022008429476132,115.9748867520049,-283.7715022161879
54.0,0.06664,0.06595,0.06580,0.06693,0.06551,0.04973,0.06196,0.05676,0.05034,0.04914,0.06061,0.06343,0.06075,0.06007,0.06294,0.06396,0.06746,0.13281,0.13346,0.12412,0.14480,0.13503,0.13332,0.13541,0.12814,0.14447,0.13329,0.13293,0.13841,0.13398,0.12982,0.13525,0.13699,0.13194,0.23076,0.28251,0.19860,0.39253,0.47774,0.12514,0.20925,0.1,0.7022008429476132,117.5289444712481,-285.6404178597139
55.0,0.06664,0.06595,0.06580,0.06693,0.06551,0.04973,0.06196,0.05676,0.05034,0.04914,0.06061,0.06343,0.06075,0.06007,0.06294,0.06396,0.06746,0.13281,0.13346,0.12412,0.14480,0.13503,0.13332,0.13541,0.12814,0.14447,0.13329,0.13293,0.13841,0.13398,0.12982,0.13525,0.13699,0.13194,0.21099,0.15958,0.19860,0.28162,0.34872,0.01642,0.20925,0.1,0.7022008429476132,117.5289444712481,-282.9981162472454
56.0,0.06664,0.06595,0.06580,0.06693,0.06551,0.04973,0.06196,0.05676,0.05034,0.04914,0.06061,0.06343,0.06075,0.06007,0.06294,0.06396,0.06746,0.13281,0.13346,0.12412,0.14480,0.13503,0.13332,0.13541,0.12814,0.14447,0.13329,0.13293,0.13841,0.13398,0.12982,0.13525,0.13699,0.13194,0.21099,0.15958,0.19860,0.28162,0.34872,0.01642,0.26954,0.1,0.7667922774533299,117.5289444712481,-282.2602615947691
